Player Name,Stat Type,Stats Data
Jamaal Lascelles,Defensive Actions,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '0', '0', '0', '0', '0', '0', '0', '', '0', '1', '1', '0', '0', '0', '2', '0']"
Nick Pope,Defensive Actions,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '1', '1', '1', '0', '0', '1', '1', '100.0', '0', '0', '0', '0', '0', '1', '3', '0']"
Nick Woltemade,Possession,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '14', '0', '0', '7', '7', '2', '14', '0', '0', '', '0', '', '9', '64', '23', '1', '1', '0', '0', '4', '13', '3']"
William Osula,Possession,Newcastle United,"['18', 'dk DEN', 'FW', '22-055', '24', '2', '0', '0', '2', '0', '0', '2', '0', '0', '', '0', '', '2', '2', '0', '0', '0', '0', '0', '1', '2', '0']"
Anthony Gordon,Possession,Newcastle United,"['10', 'eng ENG', 'LW', '24-216', '66', '29', '1', '5', '12', '12', '1', '29', '4', '1', '25.0', '1', '25.0', '15', '102', '55', '1', '0', '0', '3', '0', '15', '1']"
Kieran Trippier,Possession,Newcastle United,"['2', 'eng ENG', 'RB,LW', '35-009', '24', '16', '2', '6', '4', '6', '0', '16', '0', '0', '', '0', '', '1', '1', '0', '0', '0', '0', '0', '0', '2', '0']"
Jacob Murphy,Possession,Newcastle United,"['23', 'eng ENG', 'RW', '30-216', '66', '14', '1', '4', '3', '8', '2', '14', '1', '1', '100.0', '0', '0.0', '9', '116', '80', '1', '1', '1', '1', '0', '8', '2']"
Anthony Elanga,Possession,Newcastle United,"['20', 'se SWE', 'RM,RW', '23-154', '24', '8', '0', '1', '1', '6', '1', '8', '1', '0', '0.0', '1', '100.0', '2', '5', '4', '0', '0', '0', '0', '0', '4', '3']"
Joelinton,Possession,Newcastle United,"['7', 'br BRA', 'LM', '29-045', '89', '40', '1', '12', '23', '6', '1', '40', '0', '0', '', '0', '', '13', '74', '49', '1', '0', '1', '0', '3', '19', '1']"
Harvey Barnes,Possession,Newcastle United,"['11', 'eng ENG', 'LM', '27-293', '1', '1', '0', '0', '0', '1', '0', '1', '1', '0', '0.0', '1', '100.0', '1', '1', '0', '0', '0', '0', '0', '0', '1', '1']"
Sandro Tonali,Possession,Newcastle United,"['8', 'it ITA', 'CM', '25-143', '90', '49', '4', '13', '22', '14', '0', '49', '1', '1', '100.0', '0', '0.0', '19', '121', '50', '0', '0', '0', '1', '0', '21', '1']"
Bruno Guimarães,Possession,Newcastle United,"['39', 'br BRA', 'RM,CM', '27-316', '90', '35', '5', '9', '14', '12', '1', '35', '1', '0', '0.0', '0', '0.0', '17', '71', '13', '0', '1', '0', '1', '2', '21', '2']"
Dan Burn,Possession,Newcastle United,"['33', 'eng ENG', 'LB,CB', '33-142', '90', '54', '4', '17', '25', '12', '3', '54', '0', '0', '', '0', '', '8', '40', '21', '0', '0', '0', '1', '0', '25', '2']"
Sven Botman,Possession,Newcastle United,"['4', 'nl NED', 'CB', '25-259', '90', '64', '16', '42', '20', '2', '2', '64', '0', '0', '', '0', '', '25', '99', '32', '0', '0', '0', '0', '0', '32', '0']"
Malick Thiaw,Possession,Newcastle United,"['12', 'de GER', 'CB', '24-051', '90', '38', '12', '23', '14', '2', '2', '38', '0', '0', '', '0', '', '11', '83', '53', '0', '0', '0', '0', '0', '18', '0']"
Valentino Livramento,Possession,Newcastle United,"['21', 'eng ENG', 'RB,LB', '22-320', '76', '30', '2', '8', '12', '10', '0', '30', '1', '0', '0.0', '0', '0.0', '10', '69', '45', '2', '1', '0', '0', '0', '10', '4']"
Jamaal Lascelles,Possession,Newcastle United,"['6', 'eng ENG', 'CB', '31-321', '14', '10', '2', '7', '1', '2', '2', '10', '0', '0', '', '0', '', '2', '8', '1', '0', '0', '0', '0', '0', '5', '1']"
Nick Pope,Possession,Newcastle United,"['1', 'eng ENG', 'GK', '33-162', '90', '43', '34', '43', '1', '0', '0', '43', '0', '0', '', '0', '', '21', '148', '86', '0', '0', '0', '0', '0', '15', '0']"
Nick Woltemade,Miscellaneous Stats,Newcastle United,"['27', 'de GER', 'FW', '23-226', '66', '0', '0', '0', '0', '0', '0', '0', '1', '0', '0', '0', '0', '1', '0', '5', '0.0']"
